date,qqq_close,dist_days,upvol,fwd10,fwd20,fb_old,fb_new
2024-08-09,450.4100036621094,10.0,0.39984780842167467,6.5695690809053575,0.8991780289158369,0,0
2024-08-12,451.3800048828125,10.0,0.39520808731831675,5.308164118013736,1.6128314724944248,0,0
2024-08-13,462.5799865722656,10.0,0.4400213061003943,3.06542081477279,1.3057219767933725,0,3
2024-08-14,462.7300109863281,10.0,0.49995082790283596,1.8628562903913792,2.2669785804502185,0,7
2024-08-15,474.4200134277344,10.0,0.5653344658454961,-0.7925487245908025,0.19391739052263546,0,12
2024-08-16,475.0299987792969,9.0,0.5624830515145823,0.26103408996513977,-0.3768201059978771,0,12
2024-08-19,481.2699890136719,9.0,0.5612005817514129,-4.0434666402033415,-1.6165559783275496,0,12
2024-08-20,480.260009765625,9.0,0.5698454022269509,-4.091538752862656,-1.836506714044972,0,12
2024-08-21,482.5,9.0,0.5582357720752974,-4.447666622814117,0.17823530602332216,0,12
2024-08-22,474.8500061035156,8.0,0.572311040508197,-5.509108839814692,1.5983987028181712,0,16
2024-08-23,480.0,8.0,0.6542989287897361,-5.320835113525391,0.6333351135253906,0,20
2024-08-26,475.3399963378906,7.0,0.7386490827540092,-3.5090656802051368,2.110068341938387,0,20
2024-08-27,476.760009765625,7.0,0.7200693138838968,-1.707361037356958,1.9003266576505862,0,20
2024-08-28,471.3500061035156,7.0,0.7486797748811884,0.3967317477400867,3.84427599078212,0,20
2024-08-29,470.6600036621094,6.0,0.7063326735492123,0.994346797978829,3.418602858262365,2,20
2024-08-30,476.2699890136719,5.0,0.710581019403793,-0.6361935140133057,2.4775901448218507,5,20
2024-09-03,461.80999755859375,5.0,0.631654142275375,2.5291770939409597,4.213852354421821,5,20
2024-09-04,460.6099853515625,6.0,0.5610721471752166,2.3512336758348074,4.632992669314562,2,12
2024-09-05,461.0400085449219,6.0,0.5246669122074703,4.8412234064206805,4.457311168682754,2,12
2024-09-06,448.69000244140625,6.0,0.4346220529580782,7.5218970372328275,8.609508719298265,2,3
2024-09-09,454.4599914550781,6.0,0.4302283890905373,6.288786169787364,6.0819467429773955,2,3
2024-09-10,458.6600036621094,5.0,0.4317410047541402,5.823483896964143,6.680326142724136,5,3
2024-09-11,468.6199951171875,4.0,0.5119742760214244,3.6703538872109087,5.234518167147928,8,7
2024-09-12,473.2200012207031,4.0,0.5212091146679363,3.433920789079492,4.093232548755599,8,12
2024-09-13,475.3399963378906,3.0,0.584992625728652,2.4003878802571155,3.7909683915726244,11,16
2024-09-16,473.239990234375,3.0,0.5578756882999443,3.1337201833892214,5.126365114159115,11,12
2024-09-17,473.489990234375,3.0,0.6133294403926681,1.6431178989540607,3.6663955367984613,11,16
2024-09-18,471.44000244140625,3.0,0.5491345441323894,2.2293419546915105,4.129900118758578,11,12
2024-09-19,483.3599853515625,4.0,0.6233976489485024,-0.36618443133734635,1.632326813875351,8,20
2024-09-20,482.44000244140625,4.0,0.5810659712230216,1.0115257561804647,2.493574064840942,8,16
2024-09-23,483.0400085449219,5.0,0.5727024046860224,-0.19460136319512378,2.5629357121173424,5,16
2024-09-24,485.3699951171875,5.0,0.6415450526829138,0.8096900746475733,2.1818399250933984,5,20
2024-09-25,485.82000732421875,5.0,0.6689273873742905,1.5087864768347892,0.5228228539481794,5,20
2024-09-26,489.4700012207031,5.0,0.7029532424354008,0.6374231534938657,0.5822636926487768,5,20
2024-09-27,486.75,5.0,0.7331081998792893,1.3579836366846454,1.760658926393166,5,20
2024-09-30,488.07000732421875,4.0,0.7373539045604878,1.932098374059077,1.501830979627572,8,20
2024-10-01,481.2699890136719,4.0,0.6604657104030092,1.990570222231658,3.9250348202993557,8,20
2024-10-02,481.95001220703125,5.0,0.6412838588904621,1.859112195899093,2.994084927957741,5,20
2024-10-03,481.5899963378906,5.0,0.580251456241055,2.005856378987536,0.4692808785088154,5,16
2024-10-04,487.32000732421875,5.0,0.582011879303491,1.467207130637549,0.022569430745611463,5,16
2024-10-07,482.1000061035156,5.0,0.5455637555895846,2.7629137431204986,0.8110358043160515,5,12
2024-10-08,489.29998779296875,5.0,0.5405409537838004,1.361128924639865,0.5947279245264614,5,12
2024-10-09,493.1499938964844,4.0,0.6088256766788334,-0.9713086493370882,2.5205298245203567,8,16
2024-10-10,492.5899963378906,4.0,0.5281397593038855,-0.054810088649603905,4.253026217585343,8,12
2024-10-11,493.3599853515625,4.0,0.6089974913972894,0.3972802884002702,4.211940553319793,8,16
2024-10-14,497.5,3.0,0.6066058850843117,-0.4221117796011309,3.2844275086369334,11,16
2024-10-15,490.8500061035156,3.0,0.5321055044411136,1.8967092681731357,4.494237907040666,11,12
2024-10-16,490.9100036621094,4.0,0.562321071984506,1.1142574361691082,4.347028208571357,8,12
2024-10-17,491.25,4.0,0.5547129908637407,-1.5063600807092903,3.5501277234414763,8,12
2024-10-18,494.4700012207031,4.0,0.6141360545532032,-1.4237483623965375,0.4246983837910001,8,16
2024-10-21,495.4200134277344,4.0,0.5694653248891323,-1.8993991778820218,0.928500153659706,8,12
2024-10-22,495.9599914550781,4.0,0.6274992492151433,-0.7561093766854099,1.5122187533708198,8,20
2024-10-23,488.3599853515625,4.0,0.5505050900479185,3.5260876683634867,3.0326047424852787,8,12
2024-10-24,492.32000732421875,4.0,0.6117907646193317,4.3101987299798195,2.571498918135995,8,16
2024-10-25,495.32000732421875,4.0,0.570373732236531,3.7995653407757235,2.1137852430519466,8,16
2024-10-28,495.3999938964844,3.0,0.6348328787590812,3.7222513496512954,2.2587813038496884,11,20
2024-10-29,500.1600036621094,3.0,0.6367361436049576,2.5491781408085723,1.8294133536246981,11,20
2024-10-30,496.3800048828125,3.0,0.5695114086418824,3.197146331656553,1.7970068943977902,11,12
2024-10-31,483.8500061035156,3.0,0.5523358324165566,5.13382164401095,5.350828522118567,11,12
2024-11-01,487.42999267578125,4.0,0.5592522008449866,1.8751440793092655,5.715689590339568,8,12
2024-11-04,486.010009765625,4.0,0.5009839596859168,2.882652407674291,6.349660445562533,8,7
2024-11-05,492.2099914550781,4.0,0.5747434981675614,2.285609840373737,6.308286879499625,8,16
2024-11-06,505.5799865722656,3.0,0.5971149139604871,-0.47667494927368104,3.2101767113774438,11,16
