date,universe_n,nh_52w,nl_52w,advances,declines,qqq_close,qqq_52w_high,qqq_pct_from_high,qqq_50dma,qqq_above_50dma,qqq_fwd_4w,pct_above_50dma,nh_pct_52w,net_breadth_52w,ad_ratio,month
2025-02-12,242,11,15,89,152,528.2999877929688,538.1699829101562,-0.018339921271371292,521.5977947998047,True,-0.11349610607709382,0.38016528925619836,0.045454545454545456,-0.01652892561983471,0.36929460580912865,2025-02
2025-02-13,242,13,7,169,70,535.9000244140625,538.1699829101562,-0.004217921043865994,522.1209954833985,True,-0.10494498635905891,0.41735537190082644,0.05371900826446281,0.024793388429752067,0.7071129707112971,2025-02
2025-02-14,242,7,10,90,150,538.1500244140625,538.1699829101562,-3.708585898051087e-05,522.5781964111328,True,-0.10290817223447757,0.4214876033057851,0.028925619834710745,-0.012396694214876033,0.375,2025-02
2025-02-18,242,16,5,153,84,539.3699951171875,539.3699951171875,0.0,523.0281964111329,True,-0.12019576016307731,0.4297520661157025,0.06611570247933884,0.045454545454545456,0.6455696202531646,2025-02
2025-02-19,242,12,3,135,105,539.52001953125,539.52001953125,0.0,523.3533966064454,True,-0.10867067534167107,0.4214876033057851,0.049586776859504134,0.0371900826446281,0.5625,2025-02
2025-02-20,242,5,4,86,153,537.22998046875,539.52001953125,-0.004244585890417282,523.6617962646484,True,-0.10790531580635987,0.4256198347107438,0.02066115702479339,0.004132231404958678,0.3598326359832636,2025-02
2025-02-21,242,2,14,21,219,526.0800170898438,539.52001953125,-0.02491103565180639,523.6537969970703,True,-0.0859945622002728,0.3305785123966942,0.008264462809917356,-0.049586776859504134,0.0875,2025-02
2025-02-24,242,2,13,57,184,519.8699951171875,539.52001953125,-0.03642130727815251,523.6035968017578,False,-0.05618710779508196,0.2809917355371901,0.008264462809917356,-0.045454545454545456,0.23651452282157676,2025-02
2025-02-25,242,1,18,68,174,513.3200073242188,539.52001953125,-0.04856170532799608,523.4579974365234,False,-0.03868934696830706,0.2603305785123967,0.004132231404958678,-0.07024793388429752,0.2809917355371901,2025-02
2025-02-26,242,3,8,160,80,514.5599975585938,539.52001953125,-0.04626338424724667,523.1507977294922,False,-0.05865203828314425,0.2809917355371901,0.012396694214876033,-0.02066115702479339,0.6666666666666666,2025-02
2025-02-27,242,3,22,51,190,500.2699890136719,539.52001953125,-0.0727499056507294,522.6261975097656,False,-0.03727985748906215,0.2024793388429752,0.012396694214876033,-0.07851239669421488,0.21161825726141079,2025-02
2025-02-28,242,3,12,179,61,508.1700134277344,539.52001953125,-0.058107215615007916,522.1789971923828,False,-0.07719859485944847,0.2190082644628099,0.012396694214876033,-0.0371900826446281,0.7458333333333333,2025-02
2025-03-03,242,4,41,34,208,497.04998779296875,539.52001953125,-0.07871817578739783,521.3565972900391,False,-0.056593853849868814,0.1859504132231405,0.01652892561983471,-0.15289256198347106,0.14049586776859505,2025-03
2025-03-04,242,0,22,109,130,495.54998779296875,539.52001953125,-0.08149842479706988,520.551597290039,False,-0.046110334272642106,0.18181818181818182,0.0,-0.09090909090909091,0.4560669456066946,2025-03
2025-03-05,242,1,9,195,46,502.010009765625,539.52001953125,-0.06952477833577841,520.2623980712891,False,-0.05151294867848144,0.2231404958677686,0.004132231404958678,-0.03305785123966942,0.8091286307053942,2025-03
2025-03-06,242,0,15,49,193,488.20001220703125,539.52001953125,-0.09512159969301417,519.7429986572265,False,-0.07689473086084697,0.16942148760330578,0.0,-0.06198347107438017,0.2024793388429752,2025-03
2025-03-07,242,4,6,174,64,491.7900085449219,539.52001953125,-0.08846754385091639,519.2055993652343,False,-0.14054778241976795,0.2231404958677686,0.01652892561983471,-0.008264462809917356,0.7310924369747899,2025-03
2025-03-10,242,2,30,28,213,472.7300109863281,539.52001953125,-0.1237952367420043,518.2027996826172,False,-0.10373787871559559,0.17355371900826447,0.008264462809917356,-0.11570247933884298,0.11618257261410789,2025-03
2025-03-11,242,1,17,130,111,471.6000061035156,539.52001953125,-0.12588970004624697,517.0355993652344,False,-0.11776931260838641,0.15702479338842976,0.004132231404958678,-0.06611570247933884,0.5394190871369294,2025-03
2025-03-12,242,0,12,144,97,476.9200134277344,539.52001953125,-0.11602906998317551,515.9820001220703,False,-0.02289694942606768,0.15289256198347106,0.0,-0.049586776859504134,0.5975103734439834,2025-03
2025-03-13,242,1,31,49,187,468.3399963378906,539.52001953125,-0.1319321259945137,514.8976000976562,False,-0.04731606062985427,0.14049586776859505,0.004132231404958678,-0.12396694214876033,0.2076271186440678,2025-03
2025-03-14,242,2,2,218,23,479.6600036621094,539.52001953125,-0.11095049989275407,514.1786004638672,False,-0.052662322421652474,0.17355371900826447,0.008264462809917356,0.0,0.9045643153526971,2025-03
2025-03-17,241,3,0,193,46,482.7699890136719,539.52001953125,-0.10518614409690326,513.6094000244141,False,-0.052385149455981495,0.2033195020746888,0.012448132780082987,0.012448132780082987,0.8075313807531381,2025-03
2025-03-18,242,4,7,51,189,474.5400085449219,539.52001953125,-0.1204404074621449,512.8955999755859,False,-0.03487591775726995,0.1859504132231405,0.01652892561983471,-0.012396694214876033,0.2125,2025-03
2025-03-19,242,3,4,193,47,480.8900146484375,539.52001953125,-0.10867067534167106,512.1417999267578,False,-0.07633766735517211,0.21074380165289255,0.012396694214876033,-0.004132231404958678,0.8041666666666667,2025-03
2025-03-20,242,1,4,70,169,479.260009765625,539.52001953125,-0.11169188831580443,511.23620056152345,False,-0.0733631075943596,0.19834710743801653,0.004132231404958678,-0.012396694214876033,0.2928870292887029,2025-03
2025-03-21,242,0,8,83,155,480.8399963378906,539.52001953125,-0.10876338424724667,510.5494006347656,False,-0.09926381197455092,0.19834710743801653,0.0,-0.03305785123966942,0.3487394957983193,2025-03
2025-03-24,242,0,1,203,35,490.6600036621094,539.52001953125,-0.09056200715515907,510.0572003173828,False,-0.09411811097523837,0.25206611570247933,0.0,-0.004132231404958678,0.8529411764705882,2025-03
2025-03-25,241,2,3,88,149,493.4599914550781,539.52001953125,-0.08537223162949562,509.78260009765626,False,-0.07883109992722803,0.23651452282157676,0.008298755186721992,-0.004149377593360996,0.37130801687763715,2025-03
2025-03-26,242,1,6,54,185,484.3800048828125,539.52001953125,-0.1022019807464136,509.35900024414065,False,-0.03515834387799921,0.2231404958677686,0.004132231404958678,-0.02066115702479339,0.22594142259414227,2025-03
2025-03-27,242,3,13,56,182,481.6199951171875,539.52001953125,-0.10731765702478965,508.8898004150391,False,-0.018811506271431466,0.2024793388429752,0.012396694214876033,-0.04132231404958678,0.23529411764705882,2025-03
2025-03-28,243,4,38,21,220,468.94000244140625,539.52001953125,-0.1308200150777827,507.9346002197266,False,0.007399669899427419,0.16049382716049382,0.01646090534979424,-0.13991769547325103,0.08713692946058091,2025-03
2025-03-31,243,5,39,87,156,468.9200134277344,539.52001953125,-0.1308570647014264,507.05140014648435,False,0.014096189461491493,0.1522633744855967,0.0205761316872428,-0.13991769547325103,0.35802469135802467,2025-03
2025-04-01,242,4,16,170,68,472.70001220703125,539.52001953125,-0.1238508394596253,506.0706005859375,False,0.005859930065875929,0.17768595041322313,0.01652892561983471,-0.049586776859504134,0.7142857142857143,2025-04
2025-04-02,243,1,1,197,42,476.1499938964844,539.52001953125,-0.11745630067596614,505.0976007080078,False,0.011613984774090147,0.20987654320987653,0.00411522633744856,0.0,0.8242677824267782,2025-04
