score,train_excess,test_excess,train_cagr,test_cagr,test_mdd,bench_mdd,sharpe,calmar,turnover,holdings,gap,rs_threshold,vol_contract_max,base_tight_max,adtv_min_m,rs_accel_min,price_vs_ma50_min,pct_from_52w_high_min,vol_trend_min,liquidity_power,cap_pct,bear_exposure
0.20267794788234783,-0.05493500057262257,0.04122120359363435,0.21585796565416082,0.19802864640960838,-0.18996467775869394,-0.2611418577155121,0.8993314417364086,1.0424498319690665,1.0523879439804562,72.72222222222223,-0.09615620416625692,70,1.1,1.1,25,-99.0,-99.0,-99.0,0.0,1.0,0.18,0.5
0.20064273970705326,-0.008266788938078085,0.13899493092476356,0.2625261772887053,0.2958023737407376,-0.30357048683476257,-0.2611418577155121,0.7093282767564923,0.974410842190159,1.5929404808963488,21.22222222222222,-0.14726171986284164,80,1.0,1.1,25,-99.0,-99.0,-30.0,0.9,3.0,0.18,0.5
0.1981071685503491,-0.16302063704581005,0.14303053844694769,0.10777232918097335,0.2998379812629217,-0.19090875862687454,-0.2611418577155121,0.7470931015314617,1.5705826354931471,1.4717012017013826,8.12962962962963,-0.30605117549275773,65,0.85,0.95,10,-99.0,-99.0,-99.0,0.95,2.5,0.25,0.5
0.18619522951781337,-0.14292892601650142,0.12937169351336464,0.12786404021028197,0.28617913632933867,-0.1449218815023676,-0.2611418577155121,0.7421329911867118,1.974713089304346,1.43352473533045,8.074074074074074,-0.27230061952986606,65,0.85,0.95,15,-99.0,-99.0,-30.0,0.95,2.0,0.2,0.4
0.17733276106740814,-0.06656185661241776,0.09541870062889779,0.20423110961436564,0.2522261434448718,-0.2330242010523721,-0.2611418577155121,0.8394349982767855,1.0824032109359496,1.540263277817534,11.092592592592593,-0.16198055724131555,75,0.95,1.0,10,0.0,-99.0,-20.0,0.9,1.0,0.25,0.4
0.1590991397064404,0.10500148068987225,0.05970988268536637,0.37579444691665564,0.2165173255013404,-0.19537927197866647,-0.2611418577155121,0.9158952157227631,1.1081898468993272,1.641321336306336,8.944444444444445,0.045291598004505884,70,0.95,1.1,10,0.0,-99.0,-99.0,1.0,3.0,0.25,0.4
0.1546908580785626,-0.05166239102276804,0.05605738482648559,0.21913057520401535,0.21286482764245962,-0.11644504317989667,-0.2611418577155121,0.997651441324062,1.8280282425899697,1.535482086800524,25.51851851851852,-0.10771977584925363,60,0.95,1.1,10,-99.0,-99.0,-20.0,0.95,1.0,0.12,0.4
0.1525809734286498,-0.012917195213801635,0.06491893099717694,0.25787577101298176,0.22172637381315097,-0.2546607211608953,-0.2611418577155121,0.8217356497110876,0.8706736272574351,1.4670881640154105,15.25925925925926,-0.07783612621097857,65,1.1,1.0,10,0.0,-99.0,-20.0,0.95,1.0,0.25,0.25
0.11619535826171601,-0.16023570047297309,0.025062133980111145,0.11055726575381031,0.18186957679608518,-0.12845488569200292,-0.2611418577155121,1.1052134947561236,1.4158245193737122,1.1712069686123538,2.2222222222222223,-0.18529783445308423,80,0.85,0.95,25,3.0,-99.0,-99.0,0.95,1.0,0.12,0.3
0.10460089699923691,0.029970242810308356,0.10192847213303802,0.30076320903709175,0.25873591494901205,-0.32152095327209407,-0.2611418577155121,0.7136792808615695,0.8047248937149398,1.5574540384260214,31.85185185185185,-0.07195822932272966,65,0.95,1.0,25,-99.0,-99.0,-20.0,0.85,3.0,0.18,0.4
0.10404867236115561,-0.049956141227071926,0.007279074774785288,0.22083682499971147,0.16408651759075932,-0.17271702199144567,-0.2611418577155121,0.8780048448518238,0.9500309564096479,1.0227827772068008,82.18518518518519,-0.057235216001857214,65,1.1,1.1,15,-99.0,-99.0,-20.0,0.0,1.0,0.12,0.3
0.09146588141560219,0.014138138014907486,0.04966815662334567,0.2849311042416909,0.2064755994393197,-0.2727639881779963,-0.2611418577155121,0.7485911174623351,0.7569752914177985,1.4090934142518052,22.333333333333332,-0.035530018608438185,80,0.95,0.95,25,-99.0,-99.0,-30.0,0.0,2.0,0.18,0.4
0.06670374512977612,-0.06677421177829546,0.06530138964538268,0.20401875444848794,0.2221088324613567,-0.2948130713088522,-0.2611418577155121,0.8554592515734534,0.7533886861775914,1.4093780354270766,34.24074074074074,-0.13207560142367814,70,1.1,1.1,15,0.0,-99.0,-20.0,0.85,1.5,0.15,0.25
0.057386230918344605,-0.019811287735091776,0.03824769696662855,0.2509816784916916,0.19505513978260258,-0.17597330643512335,-0.2611418577155121,0.8210035171286861,1.1084359539184665,1.4934911027026414,8.833333333333334,-0.05805898470172033,60,1.0,0.95,15,-99.0,-99.0,-99.0,1.0,2.5,0.18,0.5
0.053671057966725944,-0.06997705052429759,0.03665089252733034,0.2008159157024858,0.19345833534330437,-0.2174991950699118,-0.2611418577155121,0.834280607454853,0.8894669025378238,1.34481624272798,5.185185185185185,-0.10662794305162793,60,0.95,0.95,10,0.0,-99.0,-30.0,1.0,3.0,0.25,0.3
