
==========================================================
  Fast OHLCV Pre-fetch (Polygon-parallel)  [2026-05-18]
==========================================================
  Universe: 5021 tickers | workers=8 | timeout=8s
  [2790/5021] ok=117 fail=2379 skip=294 | 32/min | ETA 4238s
  [2805/5021] ok=117 fail=2394 skip=294 | 32/min | ETA 4211s
  [2821/5021] ok=117 fail=2410 skip=294 | 32/min | ETA 4180s
  [2837/5021] ok=117 fail=2426 skip=294 | 32/min | ETA 4149s
  [2854/5021] ok=119 fail=2441 skip=294 | 32/min | ETA 4115s
  [2870/5021] ok=119 fail=2457 skip=294 | 32/min | ETA 4084s
  [2886/5021] ok=119 fail=2473 skip=294 | 32/min | ETA 4054s
  [2900/5021] ok=119 fail=2487 skip=294 | 32/min | ETA 4030s
  [2917/5021] ok=121 fail=2502 skip=294 | 32/min | ETA 3996s
  [2933/5021] ok=121 fail=2518 skip=294 | 32/min | ETA 3965s
  [2950/5021] ok=122 fail=2534 skip=294 | 32/min | ETA 3931s
  [2964/5021] ok=122 fail=2548 skip=294 | 32/min | ETA 3907s
  [2982/5021] ok=126 fail=2562 skip=294 | 32/min | ETA 3870s
  [2998/5021] ok=126 fail=2578 skip=294 | 32/min | ETA 3839s
  [3014/5021] ok=128 fail=2592 skip=294 | 32/min | ETA 3809s
  [3030/5021] ok=128 fail=2608 skip=294 | 32/min | ETA 3778s
  [3046/5021] ok=128 fail=2624 skip=294 | 32/min | ETA 3747s
  [3062/5021] ok=128 fail=2640 skip=294 | 32/min | ETA 3717s
  [3077/5021] ok=128 fail=2655 skip=294 | 32/min | ETA 3689s
  [3093/5021] ok=128 fail=2671 skip=294 | 32/min | ETA 3659s
  [3110/5021] ok=128 fail=2688 skip=294 | 32/min | ETA 3625s
  [3125/5021] ok=128 fail=2703 skip=294 | 32/min | ETA 3597s
  [3140/5021] ok=129 fail=2717 skip=294 | 32/min | ETA 3570s
  [3155/5021] ok=129 fail=2732 skip=294 | 32/min | ETA 3543s
  [3173/5021] ok=134 fail=2745 skip=294 | 32/min | ETA 3506s
  [3189/5021] ok=134 fail=2761 skip=294 | 32/min | ETA 3475s
  [3207/5021] ok=138 fail=2775 skip=294 | 32/min | ETA 3438s
  [3223/5021] ok=138 fail=2791 skip=294 | 32/min | ETA 3408s
  [3240/5021] ok=140 fail=2806 skip=294 | 32/min | ETA 3374s
